method,category_a,category_b,parameter_pairs,mean_correlation,mean_abs_correlation,max_abs_correlation,median_n,min_n
pearson,glycemic,inflammation,3,0.39047593375756007,0.39047593375756007,0.540204069985889,105.0,50
pearson,glycemic,vitamins,6,-0.009389386439514294,0.2034321696275894,0.31965972136984777,93.0,46
pearson,glycemic,lipid,42,0.12466054453045293,0.19736973846891506,0.40080378241373055,105.0,49
pearson,liver,inflammation,12,-0.06682488804996602,0.18167548228976182,0.5572610001317198,105.0,105
pearson,vitamins,inflammation,2,0.031471060884771127,0.18042835302607674,0.21189941391084788,97.0,93
pearson,lipid,inflammation,14,0.057054793781987155,0.17514022039237034,0.5032532952484348,107.0,103
pearson,glycemic,liver,36,0.021801320854634605,0.15402788587839167,0.47682316492373344,117.0,51
pearson,liver,cbc,132,0.057154457124547094,0.14679835684695544,0.4100117833215103,117.0,77
pearson,lipid,liver,168,0.018959721972270804,0.14362248450219686,0.44351214482312157,116.0,103
pearson,renal,cbc,121,-0.006531193906563534,0.1433911954716189,0.4020707502083071,100.0,31
pearson,thyroid,inflammation,3,-0.1428967602976659,0.1428967602976659,0.20202175430984823,96.0,95
pearson,inflammation,cbc,11,0.060944276088709365,0.1383528260746676,0.8131497049928625,105.0,68
pearson,liver,vitamins,24,-0.04240529791998813,0.13632700055625402,0.30352223985733445,97.0,93
pearson,glycemic,renal,33,0.08634064812931433,0.12022920473829946,0.3936320089930682,50.0,49
pearson,renal,liver,132,-0.016439920641184776,0.11982116278050808,0.40246246475302955,116.0,50
pearson,renal,lipid,154,0.02263849864566521,0.11873298790312174,0.32594852303562377,114.0,48
pearson,liver,thyroid,36,0.05650688986765023,0.10824547412737755,0.32630686218192095,107.0,106
pearson,lipid,cbc,154,0.025444727512248192,0.10670109413746567,0.5245135253475681,105.0,67
pearson,thyroid,cbc,33,0.034491044354138675,0.10550347289988526,0.2600669534334192,107.0,71
pearson,renal,thyroid,33,-0.02054529285354511,0.1049425588832201,0.2333816269641774,106.0,44
pearson,glycemic,thyroid,9,-0.012869678060467158,0.10415981211643453,0.24724428532513656,106.0,45
pearson,renal,inflammation,11,0.054282087222460466,0.103572951801993,0.21207779622363382,104.0,48
pearson,renal,vitamins,22,0.04134473542012703,0.10248793851400784,0.22390848877664934,93.0,44
pearson,lipid,vitamins,28,-0.011226738202935304,0.0980719274670165,0.22918073488474217,96.0,91
pearson,thyroid,vitamins,6,-0.08674824986044365,0.09692535260227768,0.23397834505234913,93.0,90
pearson,glycemic,cbc,33,0.03872848113321339,0.08192578596067417,0.43226902341078993,85.0,31
pearson,vitamins,cbc,22,-0.025320374559164603,0.08190045184423457,0.19613470714634093,94.0,60
pearson,lipid,thyroid,42,-0.002408941476686332,0.05498920925706968,0.1603345467540335,106.0,93
spearman,glycemic,inflammation,3,0.30346031959085357,0.30346031959085357,0.4590467054773163,105.0,50
spearman,lipid,liver,168,0.06221629390755176,0.2164215582513527,0.5690311047740984,116.0,103
spearman,glycemic,lipid,42,0.14113922274597704,0.21073527051472238,0.43187436455557926,105.0,49
spearman,glycemic,vitamins,6,-0.04253383876248793,0.20021138296890553,0.350780617178076,93.0,46
spearman,lipid,inflammation,14,0.12477197086429863,0.16349548300992425,0.26271158716147286,107.0,103
spearman,glycemic,liver,36,2.8134804792361485e-05,0.16145028948775045,0.31885292759255335,117.0,51
spearman,liver,cbc,132,0.0750729532947582,0.1600172925356242,0.42660339741218434,117.0,77
spearman,renal,cbc,121,-0.01366481783700565,0.1569345453413886,0.4172346738372693,100.0,31
spearman,liver,inflammation,12,0.004740666696985483,0.14038609524098003,0.4600367533627041,105.0,105
spearman,renal,vitamins,22,0.04812975524049521,0.13866847766267235,0.28125648975005746,93.0,44
spearman,renal,lipid,154,0.05662725323478736,0.1359856526603425,0.4181632653061224,114.0,48
spearman,renal,liver,132,0.016102991434323193,0.1354724941003641,0.46920445317303294,116.0,50
spearman,liver,vitamins,24,-0.084263302963909,0.13154816758812396,0.3255724558398745,97.0,93
spearman,lipid,vitamins,28,-0.03335258830898717,0.12853778267673452,0.31463900475074646,96.0,91
spearman,glycemic,renal,33,0.059520554417976455,0.12136096057357763,0.4469071179873023,50.0,49
spearman,inflammation,cbc,11,-0.0254330200685947,0.1204226593878214,0.28033821499039124,105.0,68
spearman,thyroid,cbc,33,0.05619239906184742,0.11685452102927261,0.23144419203635944,107.0,71
spearman,lipid,cbc,154,0.02528249116983655,0.11080979430645391,0.3851973735820004,105.0,67
spearman,liver,thyroid,36,0.061306161229724876,0.10489160506681879,0.30847913544944744,107.0,106
spearman,thyroid,vitamins,6,-0.09856629662942885,0.1045059343786068,0.22349517801981583,93.0,90
spearman,vitamins,inflammation,2,-0.009839281798159988,0.09831660200108448,0.10815588379924447,97.0,93
spearman,renal,inflammation,11,0.036622944625239934,0.08263956529922076,0.13658311540957827,104.0,48
spearman,renal,thyroid,33,-0.015021140773084201,0.08228409046217941,0.25885900647479454,106.0,44
spearman,vitamins,cbc,22,-0.0339485251144518,0.07670107242481622,0.1975795501243263,94.0,60
spearman,glycemic,thyroid,9,-0.0033089964779988556,0.07575446044580175,0.15180365681108457,106.0,45
spearman,glycemic,cbc,33,0.01909928384188234,0.07504173372310186,0.2861450716462337,85.0,31
spearman,lipid,thyroid,42,0.002955781093629089,0.04793765366147119,0.24836059301911384,106.0,93
spearman,thyroid,inflammation,3,0.024793711850055272,0.03092606593625234,0.05733112669314115,96.0,95
