method,category_a,parameter_a,category_b,parameter_b,n,correlation,abs_correlation
pearson,glycemic,hba1c,renal,creatinine,116,-0.0994558888224143,0.0994558888224143
pearson,glycemic,hba1c,renal,egfr,116,0.10143701922842566,0.10143701922842566
pearson,glycemic,hba1c,renal,bun,117,0.1377923011818226,0.1377923011818226
pearson,glycemic,hba1c,renal,urea,117,0.13777601622256636,0.13777601622256636
pearson,glycemic,hba1c,renal,uric_acid,117,-0.06173760844319042,0.06173760844319042
pearson,glycemic,hba1c,renal,calcium,117,0.014618901796660424,0.014618901796660424
pearson,glycemic,hba1c,renal,bun_creatinine_ratio,115,0.26064863828300394,0.26064863828300394
pearson,glycemic,hba1c,renal,urea_creatinine_ratio,117,0.25588973206451004,0.25588973206451004
pearson,glycemic,hba1c,renal,urine_creatinine,50,0.11836377351955335,0.11836377351955335
pearson,glycemic,hba1c,renal,urinary_microalbumin,50,0.1877800182097766,0.1877800182097766
pearson,glycemic,hba1c,renal,uacr,50,-0.023504652259579185,0.023504652259579185
pearson,glycemic,abg,renal,creatinine,116,-0.09959744225907774,0.09959744225907774
pearson,glycemic,abg,renal,egfr,116,0.1013490543102153,0.1013490543102153
pearson,glycemic,abg,renal,bun,117,0.13771949708151557,0.13771949708151557
pearson,glycemic,abg,renal,urea,117,0.13770301280811387,0.13770301280811387
pearson,glycemic,abg,renal,uric_acid,117,-0.061711523369208994,0.061711523369208994
pearson,glycemic,abg,renal,calcium,117,0.014847063463974481,0.014847063463974481
pearson,glycemic,abg,renal,bun_creatinine_ratio,115,0.26047372670007113,0.26047372670007113
pearson,glycemic,abg,renal,urea_creatinine_ratio,117,0.2558140315819353,0.2558140315819353
pearson,glycemic,abg,renal,urine_creatinine,50,0.11872774483633511,0.11872774483633511
pearson,glycemic,abg,renal,urinary_microalbumin,50,0.18807036915563022,0.18807036915563022
pearson,glycemic,abg,renal,uacr,50,-0.023437769159561004,0.023437769159561004
pearson,glycemic,c_peptide,renal,creatinine,49,0.03355577439535452,0.03355577439535452
pearson,glycemic,c_peptide,renal,egfr,49,-0.06924505486893621,0.06924505486893621
pearson,glycemic,c_peptide,renal,bun,50,0.1524036740584439,0.1524036740584439
pearson,glycemic,c_peptide,renal,urea,50,0.15239514571466248,0.15239514571466248
pearson,glycemic,c_peptide,renal,uric_acid,50,0.3936320089930682,0.3936320089930682
pearson,glycemic,c_peptide,renal,calcium,50,0.1056203797754471,0.1056203797754471
pearson,glycemic,c_peptide,renal,bun_creatinine_ratio,50,-0.007378807470500422,0.007378807470500422
pearson,glycemic,c_peptide,renal,urea_creatinine_ratio,50,-0.007393523626686352,0.007393523626686352
pearson,glycemic,c_peptide,renal,urine_creatinine,50,0.13708084459980302,0.13708084459980302
pearson,glycemic,c_peptide,renal,urinary_microalbumin,50,0.004703844334738173,0.004703844334738173
pearson,glycemic,c_peptide,renal,uacr,49,-0.10569891376909976,0.10569891376909976
pearson,glycemic,hba1c,lipid,total_cholesterol,116,0.05925717287610887,0.05925717287610887
pearson,glycemic,hba1c,lipid,hdl,115,-0.22129322472738405,0.22129322472738405
pearson,glycemic,hba1c,lipid,ldl,116,0.13099067266734635,0.13099067266734635
pearson,glycemic,hba1c,lipid,vldl,117,0.27895549053443836,0.27895549053443836
pearson,glycemic,hba1c,lipid,triglycerides,116,0.3546772942184114,0.3546772942184114
pearson,glycemic,hba1c,lipid,non_hdl,116,0.1495934848069662,0.1495934848069662
pearson,glycemic,hba1c,lipid,tc_hdl_ratio,116,0.26065712877334335,0.26065712877334335
