[2026-08-10 10:51:37] [INFO   ] Logger initialized → knowledge_base/logs/scraper_20260810_105137.log
[2026-08-10 10:51:37] [INFO   ] Starting Scraper CLI
[2026-08-10 10:51:37] [INFO   ] Loaded manifest v1.1 — Certus Diagnostics Medical Knowledge Base
[2026-08-10 10:51:37] [INFO   ] Job queue: 299 jobs across 100 topics (filtered from manifest)
[2026-08-10 10:51:37] [INFO   ] DRY RUN MODE — Would execute the following jobs:
[2026-08-10 10:51:37] [INFO   ]   [KB-000001] diabetes_overview (ada) — What is diabetes
[2026-08-10 10:51:37] [INFO   ]   [KB-000001] diabetes_overview (cdc) — About diabetes basics
[2026-08-10 10:51:37] [INFO   ]   [KB-000001] diabetes_overview (mayo) — Diabetes overview symptoms causes
[2026-08-10 10:51:37] [INFO   ]   [KB-000002] type1_diabetes (ada) — Type 1 diabetes
[2026-08-10 10:51:37] [INFO   ]   [KB-000002] type1_diabetes (mayo) — Type 1 diabetes symptoms causes
[2026-08-10 10:51:37] [INFO   ]   [KB-000002] type1_diabetes (niddk) — What is type 1 diabetes
[2026-08-10 10:51:37] [INFO   ]   [KB-000003] type2_diabetes (ada) — Type 2 diabetes
[2026-08-10 10:51:37] [INFO   ]   [KB-000003] type2_diabetes (cdc) — Type 2 diabetes basics
[2026-08-10 10:51:37] [INFO   ]   [KB-000003] type2_diabetes (mayo) — Type 2 diabetes symptoms causes treatment
[2026-08-10 10:51:37] [INFO   ]   [KB-000004] prediabetes (ada) — Understanding prediabetes
[2026-08-10 10:51:37] [INFO   ]   [KB-000004] prediabetes (cdc) — Prediabetes your chance to prevent type 2 diabetes
[2026-08-10 10:51:37] [INFO   ]   [KB-000004] prediabetes (mayo) — Prediabetes symptoms causes
[2026-08-10 10:51:37] [INFO   ]   [KB-000006] insulin (mayo) — Insulin and diabetes
[2026-08-10 10:51:37] [INFO   ]   [KB-000006] insulin (medlineplus) — Insulin blood test
[2026-08-10 10:51:37] [INFO   ]   [KB-000006] insulin (niddk) — Insulin what it does
[2026-08-10 10:51:37] [INFO   ]   [KB-000007] insulin_resistance (ada) — Insulin resistance
[2026-08-10 10:51:37] [INFO   ]   [KB-000007] insulin_resistance (mayo) — Insulin resistance metabolic syndrome
[2026-08-10 10:51:37] [INFO   ]   [KB-000007] insulin_resistance (niddk) — Insulin resistance and prediabetes
[2026-08-10 10:51:37] [INFO   ]   [KB-000009] glucose_metabolism (ada) — Blood glucose management
[2026-08-10 10:51:37] [INFO   ]   [KB-000009] glucose_metabolism (mayo) — Blood sugar regulation glucose metabolism
[2026-08-10 10:51:37] [INFO   ]   [KB-000009] glucose_metabolism (niddk) — How does the body regulate blood sugar
[2026-08-10 10:51:37] [INFO   ]   [KB-000010] hba1c (ada) — Understanding A1C
[2026-08-10 10:51:37] [INFO   ]   [KB-000010] hba1c (mayo) — A1C test
[2026-08-10 10:51:37] [INFO   ]   [KB-000010] hba1c (medlineplus) — Hemoglobin A1C HbA1c test
[2026-08-10 10:51:37] [INFO   ]   [KB-000011] average_blood_glucose (ada) — Estimated average glucose eAG
[2026-08-10 10:51:37] [INFO   ]   [KB-000011] average_blood_glucose (mayo) — Blood glucose test average glucose
[2026-08-10 10:51:37] [INFO   ]   [KB-000012] fasting_blood_glucose (ada) — Fasting blood glucose test
[2026-08-10 10:51:37] [INFO   ]   [KB-000012] fasting_blood_glucose (cdc) — Diabetes testing fasting blood sugar
[2026-08-10 10:51:37] [INFO   ]   [KB-000012] fasting_blood_glucose (mayo) — Blood sugar test fasting glucose
[2026-08-10 10:51:37] [INFO   ]   [KB-000013] random_blood_glucose (ada) — Random blood glucose test diabetes
[2026-08-10 10:51:37] [INFO   ]   [KB-000013] random_blood_glucose (mayo) — Random blood sugar test
[2026-08-10 10:51:37] [INFO   ]   [KB-000013] random_blood_glucose (medlineplus) — Blood glucose test random
[2026-08-10 10:51:37] [INFO   ]   [KB-000014] ogtt (ada) — Oral glucose tolerance test
[2026-08-10 10:51:37] [INFO   ]   [KB-000014] ogtt (mayo) — Glucose tolerance test
[2026-08-10 10:51:37] [INFO   ]   [KB-000014] ogtt (medlineplus) — OGTT oral glucose tolerance test
[2026-08-10 10:51:37] [INFO   ]   [KB-000016] glucose_monitoring (ada) — Blood glucose monitoring
[2026-08-10 10:51:37] [INFO   ]   [KB-000016] glucose_monitoring (cdc) — Monitoring your blood sugar diabetes
[2026-08-10 10:51:37] [INFO   ]   [KB-000016] glucose_monitoring (mayo) — Blood sugar testing glucose monitor
[2026-08-10 10:51:37] [INFO   ]   [KB-000018] creatinine (cleveland) — Creatinine blood test kidney function
[2026-08-10 10:51:37] [INFO   ]   [KB-000018] creatinine (mayo) — Creatinine test
[2026-08-10 10:51:37] [INFO   ]   [KB-000018] creatinine (niddk) — Creatinine what is it kidney
[2026-08-10 10:51:37] [INFO   ]   [KB-000019] egfr (cleveland) — eGFR test kidney function
[2026-08-10 10:51:37] [INFO   ]   [KB-000019] egfr (mayo) — Glomerular filtration rate GFR test
[2026-08-10 10:51:37] [INFO   ]   [KB-000019] egfr (niddk) — Estimated GFR glomerular filtration rate
[2026-08-10 10:51:37] [INFO   ]   [KB-000020] bun (cleveland) — Blood urea nitrogen BUN test
[2026-08-10 10:51:37] [INFO   ]   [KB-000020] bun (mayo) — Blood urea nitrogen test
[2026-08-10 10:51:37] [INFO   ]   [KB-000020] bun (medlineplus) — BUN blood urea nitrogen test
[2026-08-10 10:51:37] [INFO   ]   [KB-000023] microalbumin (ada) — Urine albumin test diabetes kidney
[2026-08-10 10:51:37] [INFO   ]   [KB-000023] microalbumin (mayo) — Microalbumin test urine albumin
[2026-08-10 10:51:37] [INFO   ]   [KB-000023] microalbumin (niddk) — Albuminuria albumin urine diabetes
[2026-08-10 10:51:37] [INFO   ]   [KB-000024] albumin_creatinine_ratio (ada) — UACR albumin creatinine ratio diabetes
[2026-08-10 10:51:37] [INFO   ]   [KB-000024] albumin_creatinine_ratio (mayo) — Albumin creatinine ratio urine test
[2026-08-10 10:51:37] [INFO   ]   [KB-000024] albumin_creatinine_ratio (niddk) — Urine albumin-to-creatinine ratio UACR
[2026-08-10 10:51:37] [INFO   ]   [KB-000025] diabetic_kidney_disease (ada) — Diabetes and kidney disease
[2026-08-10 10:51:37] [INFO   ]   [KB-000025] diabetic_kidney_disease (mayo) — Diabetic nephropathy kidney disease
[2026-08-10 10:51:37] [INFO   ]   [KB-000025] diabetic_kidney_disease (niddk) — Diabetic kidney disease
[2026-08-10 10:51:37] [INFO   ]   [KB-000028] alt (cleveland) — Alanine aminotransferase ALT test
[2026-08-10 10:51:37] [INFO   ]   [KB-000028] alt (mayo) — ALT blood test alanine aminotransferase
[2026-08-10 10:51:37] [INFO   ]   [KB-000028] alt (medlineplus) — ALT blood test SGPT
[2026-08-10 10:51:37] [INFO   ]   [KB-000029] ast (cleveland) — AST blood test SGOT liver
[2026-08-10 10:51:37] [INFO   ]   [KB-000029] ast (mayo) — AST test aspartate aminotransferase
[2026-08-10 10:51:37] [INFO   ]   [KB-000029] ast (medlineplus) — AST SGOT blood test
[2026-08-10 10:51:37] [INFO   ]   [KB-000030] bilirubin (cleveland) — Bilirubin test total direct indirect
[2026-08-10 10:51:37] [INFO   ]   [KB-000030] bilirubin (mayo) — Bilirubin test
[2026-08-10 10:51:37] [INFO   ]   [KB-000030] bilirubin (medlineplus) — Bilirubin blood test
[2026-08-10 10:51:37] [INFO   ]   [KB-000031] alp (cleveland) — ALP alkaline phosphatase test
[2026-08-10 10:51:37] [INFO   ]   [KB-000031] alp (mayo) — Alkaline phosphatase test
[2026-08-10 10:51:37] [INFO   ]   [KB-000031] alp (medlineplus) — Alkaline phosphatase ALP blood test
[2026-08-10 10:51:37] [INFO   ]   [KB-000033] albumin (cleveland) — Serum albumin test
[2026-08-10 10:51:37] [INFO   ]   [KB-000033] albumin (mayo) — Albumin serum test liver
[2026-08-10 10:51:37] [INFO   ]   [KB-000033] albumin (medlineplus) — Albumin blood test
[2026-08-10 10:51:37] [INFO   ]   [KB-000036] fatty_liver (cleveland) — Fatty liver disease symptoms causes
[2026-08-10 10:51:37] [INFO   ]   [KB-000036] fatty_liver (mayo) — Nonalcoholic fatty liver disease
[2026-08-10 10:51:37] [INFO   ]   [KB-000036] fatty_liver (niddk) — Fatty liver disease NAFLD
[2026-08-10 10:51:37] [INFO   ]   [KB-000037] nafld (ada) — Diabetes and liver disease NAFLD
[2026-08-10 10:51:37] [INFO   ]   [KB-000037] nafld (mayo) — Nonalcoholic steatohepatitis NASH
[2026-08-10 10:51:37] [INFO   ]   [KB-000037] nafld (niddk) — NAFLD NASH nonalcoholic fatty liver
[2026-08-10 10:51:37] [INFO   ]   [KB-000038] liver_function_panel (cleveland) — Liver panel liver function test
[2026-08-10 10:51:37] [INFO   ]   [KB-000038] liver_function_panel (mayo) — Liver function tests
[2026-08-10 10:51:37] [INFO   ]   [KB-000038] liver_function_panel (medlineplus) — Liver function tests
[2026-08-10 10:51:37] [INFO   ]   [KB-000039] hdl (ada) — Cholesterol HDL diabetes cardiovascular
[2026-08-10 10:51:37] [INFO   ]   [KB-000039] hdl (mayo) — HDL cholesterol good cholesterol
[2026-08-10 10:51:37] [INFO   ]   [KB-000039] hdl (medlineplus) — HDL cholesterol test
[2026-08-10 10:51:37] [INFO   ]   [KB-000040] ldl (ada) — LDL cholesterol targets diabetes
[2026-08-10 10:51:37] [INFO   ]   [KB-000040] ldl (mayo) — LDL cholesterol bad cholesterol
[2026-08-10 10:51:37] [INFO   ]   [KB-000040] ldl (medlineplus) — LDL cholesterol test
[2026-08-10 10:51:37] [INFO   ]   [KB-000041] total_cholesterol (cdc) — Cholesterol about getting cholesterol checked
[2026-08-10 10:51:37] [INFO   ]   [KB-000041] total_cholesterol (mayo) — High cholesterol
[2026-08-10 10:51:37] [INFO   ]   [KB-000041] total_cholesterol (medlineplus) — Cholesterol levels blood test
[2026-08-10 10:51:37] [INFO   ]   [KB-000042] triglycerides (cleveland) — Triglycerides blood test
[2026-08-10 10:51:37] [INFO   ]   [KB-000042] triglycerides (mayo) — Triglycerides why they matter
[2026-08-10 10:51:37] [INFO   ]   [KB-000042] triglycerides (medlineplus) — Triglyceride level blood test
[2026-08-10 10:51:37] [INFO   ]   [KB-000047] lipid_panel (cdc) — Getting your cholesterol checked lipid panel
[2026-08-10 10:51:37] [INFO   ]   [KB-000047] lipid_panel (mayo) — Cholesterol test lipid panel
[2026-08-10 10:51:37] [INFO   ]   [KB-000047] lipid_panel (medlineplus) — Lipid panel blood test
[2026-08-10 10:51:37] [INFO   ]   [KB-000049] vitamin_d (cleveland) — Vitamin D blood test deficiency
[2026-08-10 10:51:37] [INFO   ]   [KB-000049] vitamin_d (mayo) — Vitamin D deficiency
